,location,location_name,super_region_name,region_name,year,mean,global_rank,super_region_rank
0,AFG,Afghanistan,South Asia,South Asia,1990,0.133,106.5,1.0
90,BGD,Bangladesh,South Asia,South Asia,1990,0.021,184.0,5.0
156,BTN,Bhutan,South Asia,South Asia,1990,0.124,111.0,2.0
462,IND,India,South Asia,South Asia,1990,0.033,170.0,4.0
762,NPL,Nepal,South Asia,South Asia,1990,0.018,186.0,6.0
780,PAK,Pakistan,South Asia,South Asia,1990,0.112,121.0,3.0
6,AGO,Angola,Sub-Saharan Africa,Central Sub-Saharan Africa,1990,0.116,117.0,11.0
66,BDI,Burundi,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.029,177.0,45.0
78,BEN,Benin,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.053,155.0,32.0
84,BFA,Burkina Faso,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.039,165.0,37.0
162,BWA,Botswana,Sub-Saharan Africa,Southern Sub-Saharan Africa,1990,0.149,87.0,6.0
168,CAF,Central African Republic,Sub-Saharan Africa,Central Sub-Saharan Africa,1990,0.065,150.0,29.0
198,CIV,Cote d'Ivoire,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.035,168.5,39.0
204,CMR,Cameroon,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.099,131.5,15.5
210,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Central Sub-Saharan Africa,1990,0.04,163.5,36.0
216,COG,Congo,Sub-Saharan Africa,Central Sub-Saharan Africa,1990,0.113,120.0,12.0
228,COM,Comoros,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.098,133.5,17.5
234,CPV,Cape Verde,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.096,136.0,19.0
270,DJI,Djibouti,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.098,133.5,17.5
312,ERI,Eritrea,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.032,172.0,41.0
330,ETH,Ethiopia,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.021,184.0,48.0
360,GAB,Gabon,Sub-Saharan Africa,Central Sub-Saharan Africa,1990,0.134,105.0,9.0
378,GHA,Ghana,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.048,158.0,34.0
384,GIN,Guinea,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.043,161.0,35.0
390,GMB,The Gambia,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.094,137.5,20.5
396,GNB,Guinea-Bissau,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.101,129.0,14.0
402,GNQ,Equatorial Guinea,Sub-Saharan Africa,Central Sub-Saharan Africa,1990,0.263,17.0,1.0
528,KEN,Kenya,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.09,139.0,22.0
576,LBR,Liberia,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.138,101.5,8.0
600,LSO,Lesotho,Sub-Saharan Africa,Southern Sub-Saharan Africa,1990,0.166,66.0,5.0
636,MDG,Madagascar,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.028,178.5,46.0
666,MLI,Mali,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.069,147.0,28.0
696,MOZ,Mozambique,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.049,157.0,33.0
702,MRT,Mauritania,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.145,92.0,7.0
708,MUS,Mauritius,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.105,126.0,13.0
714,MWI,Malawi,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.032,172.0,41.0
726,NAM,Namibia,Sub-Saharan Africa,Southern Sub-Saharan Africa,1990,0.088,141.0,23.0
732,NER,Niger,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.031,174.5,43.5
738,NGA,Nigeria,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.063,152.5,30.5
858,RWA,Rwanda,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.023,181.0,47.0
876,SEN,Senegal,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.099,131.5,15.5
894,SLE,Sierra Leone,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.072,146.0,27.0
906,SOM,Somalia,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.094,137.5,20.5
918,SSD,South Sudan,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.198,41.0,4.0
924,STP,Sao Tome and Principe,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.087,142.0,24.0
954,SWZ,Swaziland,Sub-Saharan Africa,Southern Sub-Saharan Africa,1990,0.237,25.0,2.0
960,SYC,Seychelles,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.131,108.0,10.0
972,TCD,Chad,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.032,172.0,41.0
978,TGO,Togo,Sub-Saharan Africa,Western Sub-Saharan Africa,1990,0.036,167.0,38.0
1038,TZA,Tanzania,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.063,152.5,30.5
1044,UGA,Uganda,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.031,174.5,43.5
1110,ZAF,South Africa,Sub-Saharan Africa,Southern Sub-Saharan Africa,1990,0.22,33.0,3.0
1116,ZMB,Zambia,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1990,0.074,145.0,26.0
1122,ZWE,Zimbabwe,Sub-Saharan Africa,Southern Sub-Saharan Africa,1990,0.084,143.0,25.0
12,ALB,Albania,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1990,0.076,144.0,29.0
36,ARM,Armenia,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1990,0.152,82.5,18.5
60,AZE,Azerbaijan,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1990,0.136,103.0,24.0
96,BGR,Bulgaria,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1990,0.219,34.5,3.0
114,BIH,Bosnia and Herzegovina,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1990,0.146,90.0,21.0
120,BLR,Belarus,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,1990,0.107,125.0,27.0
258,CZE,Czech Republic,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1990,0.181,57.0,10.0
324,EST,Estonia,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,1990,0.184,54.0,9.0
372,GEO,Georgia,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1990,0.138,101.5,23.0
438,HRV,Croatia,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1990,0.152,82.5,18.5
450,HUN,Hungary,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1990,0.243,22.5,1.0
522,KAZ,Kazakhstan,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1990,0.172,61.0,12.0
534,KGZ,Kyrgyzstan,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1990,0.14,98.0,22.0
606,LTU,Lithuania,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,1990,0.178,58.0,11.0
618,LVA,Latvia,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,1990,0.222,31.0,2.0
630,MDA,Moldova,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,1990,0.192,44.5,4.5
660,MKD,Macedonia,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1990,0.159,71.5,15.0
684,MNE,Montenegro,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1990,0.187,48.5,6.5
690,MNG,Mongolia,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1990,0.114,119.0,26.0
810,POL,Poland,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1990,0.186,51.0,8.0
846,ROU,Romania,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1990,0.154,79.5,16.5
852,RUS,Russia,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,1990,0.171,62.0,13.0
912,SRB,Serbia,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1990,0.15,84.5,20.0
936,SVK,Slovakia,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1990,0.192,44.5,4.5
942,SVN,Slovenia,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1990,0.161,68.5,14.0
990,TJK,Tajikistan,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1990,0.102,127.5,28.0
996,TKM,Turkmenistan,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1990,0.154,79.5,16.5
1050,UKR,Ukraine,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,1990,0.187,48.5,6.5
1068,UZB,Uzbekistan,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1990,0.119,114.5,25.0
18,AND,Andorra,High-income,Western Europe,1990,0.067,148.0,29.0
30,ARG,Argentina,High-income,Southern Latin America,1990,0.211,38.0,7.0
48,AUS,Australia,High-income,Australasia,1990,0.156,76.0,20.0
54,AUT,Austria,High-income,Western Europe,1990,0.135,104.0,27.0
72,BEL,Belgium,High-income,Western Europe,1990,0.169,63.5,14.5
150,BRN,Brunei,High-income,High-income Asia Pacific,1990,0.028,178.5,32.0
174,CAN,Canada,High-income,High-income North America,1990,0.167,65.0,16.0
180,CHE,Switzerland,High-income,Western Europe,1990,0.145,92.0,24.0
186,CHL,Chile,High-income,Southern Latin America,1990,0.222,31.0,4.0
252,CYP,Cyprus,High-income,Western Europe,1990,0.226,28.0,2.0
264,DEU,Germany,High-income,Western Europe,1990,0.182,56.0,12.0
282,DNK,Denmark,High-income,Western Europe,1990,0.142,97.0,26.0
318,ESP,Spain,High-income,Western Europe,1990,0.184,54.0,11.0
336,FIN,Finland,High-income,Western Europe,1990,0.169,63.5,14.5
348,FRA,France,High-income,Western Europe,1990,0.157,74.0,18.5
366,GBR,United Kingdom,High-income,Western Europe,1990,0.149,87.0,23.0
408,GRC,Greece,High-income,Western Europe,1990,0.173,60.0,13.0
468,IRL,Ireland,High-income,Western Europe,1990,0.157,74.0,18.5
486,ISL,Iceland,High-income,Western Europe,1990,0.217,36.0,6.0
492,ISR,Israel,High-income,Western Europe,1990,0.195,42.5,8.0
498,ITA,Italy,High-income,Western Europe,1990,0.154,79.5,22.0
516,JPN,Japan,High-income,High-income Asia Pacific,1990,0.022,182.0,33.0
552,KOR,South Korea,High-income,High-income Asia Pacific,1990,0.056,154.0,31.0
612,LUX,Luxembourg,High-income,Western Europe,1990,0.191,46.0,9.0
672,MLT,Malta,High-income,Western Europe,1990,0.24,24.0,1.0
750,NLD,Netherlands,High-income,Western Europe,1990,0.133,106.5,28.0
756,NOR,Norway,High-income,Western Europe,1990,0.144,94.5,25.0
768,NZL,New Zealand,High-income,Australasia,1990,0.161,68.5,17.0
822,PRT,Portugal,High-income,Western Europe,1990,0.186,51.0,10.0
882,SGP,Singapore,High-income,High-income Asia Pacific,1990,0.065,150.0,30.0
948,SWE,Sweden,High-income,Western Europe,1990,0.155,77.0,21.0
1056,URY,Uruguay,High-income,Southern Latin America,1990,0.224,29.0,3.0
1062,USA,United States,High-income,High-income North America,1990,0.219,34.5,5.0
24,ARE,United Arab Emirates,North Africa and Middle East,North Africa and Middle East,1990,0.276,13.0,6.0
102,BHR,Bahrain,North Africa and Middle East,North Africa and Middle East,1990,0.261,18.0,9.0
294,DZA,Algeria,North Africa and Middle East,North Africa and Middle East,1990,0.139,99.5,18.0
306,EGY,Egypt,North Africa and Middle East,North Africa and Middle East,1990,0.288,12.0,5.0
474,IRN,Iran,North Africa and Middle East,North Africa and Middle East,1990,0.186,51.0,14.0
480,IRQ,Iraq,North Africa and Middle East,North Africa and Middle East,1990,0.256,21.0,11.0
510,JOR,Jordan,North Africa and Middle East,North Africa and Middle East,1990,0.313,8.0,4.0
558,KWT,Kuwait,North Africa and Middle East,North Africa and Middle East,1990,0.346,7.0,3.0
570,LBN,Lebanon,North Africa and Middle East,North Africa and Middle East,1990,0.228,27.0,13.0
582,LBY,Libya,North Africa and Middle East,North Africa and Middle East,1990,0.413,5.0,2.0
624,MAR,Morocco,North Africa and Middle East,North Africa and Middle East,1990,0.159,71.5,16.0
774,OMN,Oman,North Africa and Middle East,North Africa and Middle East,1990,0.164,67.0,15.0
834,PSE,Palestine,North Africa and Middle East,North Africa and Middle East,1990,0.275,14.5,7.0
840,QAT,Qatar,North Africa and Middle East,North Africa and Middle East,1990,0.469,3.0,1.0
864,SAU,Saudi Arabia,North Africa and Middle East,North Africa and Middle East,1990,0.243,22.5,12.0
870,SDN,Sudan,North Africa and Middle East,North Africa and Middle East,1990,0.129,109.0,19.0
966,SYR,Syria,North Africa and Middle East,North Africa and Middle East,1990,0.273,16.0,8.0
1020,TUN,Tunisia,North Africa and Middle East,North Africa and Middle East,1990,0.115,118.0,20.0
1026,TUR,Turkey,North Africa and Middle East,North Africa and Middle East,1990,0.257,20.0,10.0
1104,YEM,Yemen,North Africa and Middle East,North Africa and Middle East,1990,0.143,96.0,17.0
42,ATG,Antigua and Barbuda,Latin America and Caribbean,Caribbean,1990,0.145,92.0,17.0
108,BHS,The Bahamas,Latin America and Caribbean,Caribbean,1990,0.31,9.0,1.0
126,BLZ,Belize,Latin America and Caribbean,Caribbean,1990,0.296,11.0,2.0
132,BOL,Bolivia,Latin America and Caribbean,Andean Latin America,1990,0.126,110.0,20.0
138,BRA,Brazil,Latin America and Caribbean,Tropical Latin America,1990,0.108,123.5,26.0
144,BRB,Barbados,Latin America and Caribbean,Caribbean,1990,0.222,31.0,5.0
222,COL,Colombia,Latin America and Caribbean,Central Latin America,1990,0.109,122.0,25.0
240,CRI,Costa Rica,Latin America and Caribbean,Central Latin America,1990,0.195,42.5,8.0
246,CUB,Cuba,Latin America and Caribbean,Caribbean,1990,0.19,47.0,9.0
276,DMA,Dominica,Latin America and Caribbean,Caribbean,1990,0.216,37.0,6.0
288,DOM,Dominican Republic,Latin America and Caribbean,Caribbean,1990,0.119,114.5,23.0
300,ECU,Ecuador,Latin America and Caribbean,Andean Latin America,1990,0.12,113.0,22.0
414,GRD,Grenada,Latin America and Caribbean,Caribbean,1990,0.15,84.5,14.0
420,GTM,Guatemala,Latin America and Caribbean,Central Latin America,1990,0.102,127.5,27.0
426,GUY,Guyana,Latin America and Caribbean,Caribbean,1990,0.184,54.0,10.0
432,HND,Honduras,Latin America and Caribbean,Central Latin America,1990,0.1,130.0,28.0
444,HTI,Haiti,Latin America and Caribbean,Caribbean,1990,0.065,150.0,29.0
504,JAM,Jamaica,Latin America and Caribbean,Caribbean,1990,0.16,70.0,12.0
588,LCA,Saint Lucia,Latin America and Caribbean,Caribbean,1990,0.147,89.0,16.0
